,Capacitive axis,,,Inductive axis,,,,,,MHWP_v2,,,,Temperature (K),
Freq,Tx_C,Rx_C,Abs_C,Tx_L,Rx_L,Abs_L,DPh,45d X-Pol,Model:,Msh_HWP_Toltec_2019_01_13c,,,,emitted,reflected
10,0.784716,0.215238,4.66E-05,1.82E-06,0.969453,0.0305452,251.06786,-7.0777609,,nC=6,,,,290,45
11,0.770743,0.229202,5.47E-05,1.95E-06,0.966588,0.0334105,247.54163,-7.1567758,,nL=6,,,,290,45
12,0.761622,0.238316,6.26E-05,2.19E-06,0.963603,0.0363945,244.12638,-7.2096205,,,,,,290,45
13,0.757477,0.242453,7.02E-05,2.54E-06,0.960504,0.0394939,240.81871,-7.234661,,,,,,290,45
14,0.758321,0.241602,7.79E-05,3.06E-06,0.957305,0.0426915,237.61388,-7.2314139,,,,,,290,45
15,0.764065,0.235849,8.60E-05,3.79E-06,0.954041,0.0459548,234.50725,-7.2005266,,,,,,290,45
16,0.774512,0.225394,9.47E-05,4.81E-06,0.950763,0.0492321,231.49544,-7.1437922,,,,,,290,45
17,0.789321,0.210575,1.04E-04,6.22E-06,0.947543,0.0524508,228.57694,-7.0641873,,,,,,290,45
18,0.807963,0.191923,0.000114009,8.14E-06,0.944475,0.055517,225.75262,-6.9659267,,,,,,290,45
19,0.829655,0.17022,0.00012511,1.07E-05,0.94167,0.0583192,223.02587,-6.8544845,,,,,,290,45
20,0.853302,0.14656,0.000137284,1.42E-05,0.939246,0.0607401,220.4025,-6.7365645,,,,,,290,45
21,0.877463,0.122387,0.000150353,1.87E-05,0.937305,0.0626768,217.89028,-6.6199416,,,,,,290,45
22,0.900358,0.0994781,0.000164032,2.42E-05,0.935905,0.0640705,215.49817,-6.513135,,,,,,290,45
23,0.919975,0.0798466,0.000178017,3.07E-05,0.935027,0.0649418,213.23526,-6.424858,,,,,,290,45
24,0.934274,0.0655337,0.00019189,3.78E-05,0.934541,0.0654213,211.10957,-6.363254,,,,,,290,45
25,0.941479,0.058316,0.00020498,4.49E-05,0.934196,0.0657589,209.12712,-6.3350012,,,,,,290,45
26,0.940397,0.0593859,0.000216823,5.10E-05,0.933652,0.0662974,207.29134,-6.3444491,,,,,,290,45
27,0.930669,0.0691039,0.000226833,5.49E-05,0.932537,0.0674078,205.60317,-6.3929953,,,,,,290,45
28,0.912849,0.0869157,0.000234939,5.60E-05,0.930543,0.0694011,204.06122,-6.4788895,,,,,,290,45
29,0.888291,0.111469,0.000240602,5.36E-05,0.9275,0.0724467,202.66216,-6.5975176,,,,,,290,45
30,0.858872,0.140884,0.000244558,4.82E-05,0.923425,0.0765267,201.40051,-6.7421033,,,,,,290,45
31,0.826599,0.173151,0.000250772,5.26E-05,0.926292,0.0736553,199.85472,-6.9130659,,,,,,290,45
32,0.793511,0.206233,0.000256345,5.70E-05,0.929554,0.0703889,198.36803,-7.0951658,,,,,,290,45
33,0.7613,0.238438,0.000261456,6.11E-05,0.933007,0.0669317,196.92454,-7.2797877,,,,,,290,45
34,0.731282,0.268451,0.000266641,6.50E-05,0.936472,0.0634627,195.5065,-7.4590176,,,,,,290,45
35,0.704397,0.295331,0.000272125,6.86E-05,0.939804,0.060127,194.09535,-7.6259596,,,,,,290,45
36,0.681265,0.318457,0.000278324,7.18E-05,0.942895,0.0570334,192.67239,-7.7748657,,,,,,290,45
37,0.662258,0.337456,0.000285566,7.45E-05,0.945668,0.0542579,191.21907,-7.9011369,,,,,,290,45
38,0.647572,0.352134,0.000294209,7.65E-05,0.948075,0.0518486,189.71692,-8.0012611,,,,,,290,45
39,0.637291,0.362405,0.000304341,7.78E-05,0.950091,0.0498314,188.14736,-8.0727171,,,,,,290,45
40,0.631432,0.368252,0.000316352,7.82E-05,0.951706,0.0482158,186.49146,-8.1138809,,,,,,290,45
41,0.630007,0.369674,0.000318378,8.31E-05,0.953825,0.0460921,184.76562,-8.1271464,,,,,,290,45
42,0.632956,0.366723,0.000320613,8.87E-05,0.955697,0.044214,182.92884,-8.1101528,,,,,,290,45
43,0.640231,0.359446,0.000323147,9.48E-05,0.957326,0.0425789,180.96411,-8.0635877,,,,,,290,45
44,0.651765,0.34791,0.000325769,0.000101658,0.958717,0.0411816,178.85438,-7.9888302,,,,,,290,45
45,0.667454,0.332218,0.000328511,0.000109143,0.959874,0.0400168,176.58278,-7.8879734,,,,,,290,45
46,0.687129,0.31254,0.000331163,0.000117311,0.960803,0.0390792,174.13308,-7.7638445,,,,,,290,45
47,0.71052,0.289147,0.00033319,0.000126156,0.961509,0.0383645,171.49055,-7.6200454,,,,,,290,45
48,0.737208,0.262458,0.000334442,0.000135648,0.961994,0.0378702,168.64288,-7.4609592,,,,,,290,45
49,0.766582,0.233084,0.000334382,0.000145732,0.96226,0.0375945,165.58171,-7.2917336,,,,,,290,45
50,0.7978,0.201867,0.000332475,0.000156322,0.962305,0.0375384,162.30421,-7.1181877,,,,,,290,45
51,0.829652,0.169986,0.000362113,0.000172561,0.962455,0.0373726,158.87004,-6.9491589,,,,,,290,45
52,0.860929,0.138674,0.000397727,0.000191305,0.962449,0.0373601,155.25908,-6.7891506,,,,,,290,45
53,0.89019,0.109371,0.000439085,0.00021292,0.962285,0.0375026,151.49852,-6.6443927,,,,,,290,45
54,0.915989,0.0835254,0.000485666,0.000237822,0.961959,0.0378031,147.62554,-6.5203805,,,,,,290,45
55,0.937047,0.0624164,0.000536703,0.000266475,0.961467,0.0382664,143.68609,-6.421377,,,,,,290,45
56,0.952432,0.0469768,0.000591256,0.000299399,0.960801,0.0388992,139.73211,-6.3499835,,,,,,290,45
57,0.961697,0.0376548,0.000648137,0.000337163,0.959953,0.0397098,135.81804,-6.3068779,,,,,,290,45
58,0.964939,0.0343546,0.000706255,0.000380383,0.958912,0.0407077,131.99647,-6.2907898,,,,,,290,45
59,0.962761,0.0364741,0.000764802,0.000429714,0.957666,0.0419048,128.31446,-6.2987091,,,,,,290,45
60,0.956155,0.043022,0.000823151,0.000485832,0.9562,0.043314,124.81045,-6.326287,,,,,,290,45
61,0.94634,0.0528151,0.000845335,0.000559513,0.954525,0.0449157,121.5943,-6.3695784,,,,,,290,45
62,0.934562,0.0645751,0.000863031,0.000646879,0.952604,0.0467492,118.63143,-6.4223409,,,,,,290,45
63,0.922035,0.0770876,0.000877284,0.000750494,0.95042,0.0488296,115.93465,-6.4792542,,,,,,290,45
64,0.909817,0.0892939,0.000889212,0.000873337,0.947955,0.0511717,113.50844,-6.5354799,,,,,,290,45
65,0.898764,0.100336,0.000900015,0.00101882,0.945192,0.053789,111.35068,-6.5868959,,,,,,290,45
66,0.889522,0.109567,0.000910729,0.0011908,0.942117,0.0566921,109.45417,-6.6302316,,,,,,290,45
67,0.882535,0.116543,0.000921875,0.00139349,0.93872,0.0598865,107.80818,-6.6631162,,,,,,290,45
68,0.878066,0.121,0.00093437,0.00163139,0.934998,0.0633706,106.39926,-6.6840765,,,,,,290,45
69,0.87622,0.122831,0.000948474,0.00190906,0.930959,0.0671322,105.21207,-6.6924857,,,,,,290,45
70,0.876967,0.122068,0.000964463,0.00223079,0.926625,0.0711443,104.22965,-6.6884937,,,,,,290,45
71,0.8802,0.118788,0.00101184,0.00262792,0.92205,0.0753217,103.53938,-6.6740582,,,,,,290,45
72,0.885623,0.113312,0.00106531,0.00309149,0.917273,0.0796356,103.0483,-6.6500015,,,,,,290,45
73,0.892886,0.105989,0.0011248,0.00362753,0.912375,0.0839972,102.73834,-6.6183481,,,,,,290,45
74,0.901561,0.0972499,0.00118915,0.00424036,0.907465,0.0882944,102.58884,-6.5814565,,,,,,290,45
75,0.911157,0.0875847,0.00125802,0.00493183,0.902673,0.0923955,102.57599,-6.5418659,,,,,,290,45
76,0.921146,0.0775234,0.00133066,0.00570062,0.898141,0.0961586,102.6726,-6.5021168,,,,,,290,45
77,0.93099,0.0676042,0.00140598,0.00654197,0.894013,0.0994446,102.84833,-6.4645724,,,,,,290,45
78,0.940179,0.0583382,0.00148268,0.00744786,0.89042,0.102132,103.07049,-6.4312434,,,,,,290,45
79,0.948269,0.0501713,0.00155985,0.00840787,0.887458,0.104134,103.3054,-6.4036488,,,,,,290,45
80,0.954915,0.0434479,0.0016366,0.00941058,0.885179,0.10541,103.52009,-6.3827122,,,,,,290,45
81,0.959875,0.0383901,0.00173522,0.0105015,0.883865,0.105633,103.71014,-6.3695966,,,,,,290,45
82,0.963102,0.0350609,0.00183725,0.0116398,0.883256,0.105105,103.83221,-6.3633402,,,,,,290,45
83,0.964674,0.033384,0.00194243,0.0128252,0.883251,0.103924,103.8654,-6.3629969,,,,,,290,45
84,0.964797,0.0331527,0.00205056,0.0140623,0.883719,0.102219,103.79417,-6.367106,,,,,,290,45
85,0.963781,0.0340579,0.00216139,0.0153613,0.884506,0.100133,103.60822,-6.3738276,,,,,,290,45
86,0.962001,0.0357237,0.00227547,0.0167378,0.885456,0.0978059,103.30189,-6.3810827,,,,,,290,45
87,0.959861,0.0377461,0.00239294,0.0182132,0.886418,0.0953685,102.87322,-6.3866972,,,,,,290,45
88,0.957757,0.0397285,0.0025144,0.0198145,0.887252,0.0929333,102.32309,-6.3885347,,,,,,290,45
89,0.956047,0.0413125,0.0026406,0.0215741,0.887833,0.0905929,101.65433,-6.3846205,,,,,,290,45
90,0.955028,0.0422003,0.00277201,0.0235307,0.888049,0.0884202,100.87121,-6.373232,,,,,,290,45
91,0.955014,0.0421288,0.00285683,0.0258659,0.887322,0.0868117,100.11473,-6.3560098,,,,,,290,45
92,0.956064,0.0409942,0.00294144,0.0285586,0.885885,0.0855569,99.286786,-6.3297419,,,,,,290,45
93,0.958216,0.0387575,0.00302638,0.0316921,0.883607,0.0847011,98.397718,-6.2939076,,,,,,290,45
94,0.961416,0.0354721,0.00311205,0.0353688,0.880346,0.084285,97.459983,-6.2483892,,,,,,290,45
95,0.965523,0.0312786,0.00319852,0.0397155,0.875936,0.0843488,96.488726,-6.1934586,,,,,,290,45
96,0.970317,0.0263976,0.00328499,0.04489,0.870175,0.0849348,95.502586,-6.1297442,,,,,,290,45
97,0.975513,0.0211162,0.00337095,0.0510898,0.86282,0.0860902,94.524327,-6.0581883,,,,,,290,45
98,0.980774,0.0157709,0.0034551,0.0585628,0.853568,0.0878689,93.581576,-5.9799932,,,,,,290,45
99,0.985738,0.0107253,0.00353634,0.0676206,0.842046,0.0903337,92.707543,-5.8965844,,,,,,290,45
100,0.990044,0.00634317,0.00361259,0.0786543,0.827789,0.0935565,91.941385,-5.8095701,,,,,,290,45
101,0.993433,0.00298919,0.00357751,0.0924583,0.810209,0.0973328,91.347261,-5.7201104,,,,,,290,45
102,0.995598,0.000883816,0.00351817,0.109524,0.788534,0.101943,90.970786,-5.6306962,,,,,,290,45
103,0.996352,0.000213185,0.00343486,0.130668,0.761884,0.107447,90.873842,-5.5439011,,,,,,290,45
104,0.995607,0.00106412,0.00332844,0.156868,0.729249,0.113884,91.123693,-5.4630912,,,,,,290,45
105,0.993383,0.00341598,0.00320074,0.189224,0.689537,0.121238,91.790974,-5.3928725,,,,,,290,45
106,0.989804,0.00714305,0.00305328,0.228877,0.641717,0.129406,92.945536,-5.3396165,,,,,,290,45
107,0.985084,0.0120272,0.00288846,0.276802,0.585059,0.138139,94.649836,-5.3120083,,,,,,290,45
108,0.979513,0.0177786,0.00270866,0.333473,0.519541,0.146986,96.949337,-5.3213815,,,,,,290,45
109,0.973423,0.0240606,0.00251595,0.398387,0.446351,0.155262,99.859529,-5.3814724,,,,,,290,45
110,0.96717,0.0305174,0.0023122,0.469582,0.368343,0.162075,103.35191,-5.5071658,,,,,,290,45
111,0.960733,0.0368875,0.00237918,0.544442,0.289036,0.166523,107.46281,-5.7222548,,,,,,290,45
112,0.954745,0.0427779,0.00247756,0.617133,0.21515,0.167716,111.96565,-6.0308719,,,,,,290,45
113,0.949491,0.0479029,0.00260565,0.682291,0.152391,0.165318,116.6776,-6.4347207,,,,,,290,45
114,0.945208,0.0520305,0.00276171,0.735803,0.104584,0.159613,121.40076,-6.9250865,,,,,,290,45
115,0.942066,0.0549896,0.00294441,0.775918,0.0726571,0.151425,125.9567,-7.4838774,,,,,,290,45
116,0.940174,0.0566732,0.00315251,0.80337,0.0547955,0.141835,130.21299,-8.087385,,,,,,290,45
117,0.939577,0.0570388,0.00338468,0.820619,0.0475121,0.131869,134.09312,-8.711124,,,,,,290,45
118,0.940253,0.0561068,0.00364037,0.830798,0.0468912,0.122311,137.57232,-9.3340866,,,,,,290,45
119,0.942125,0.0539561,0.00391854,0.83688,0.0494784,0.113642,140.66425,-9.9412,,,,,,290,45
120,0.945062,0.050719,0.00421898,0.841231,0.052682,0.106087,143.40647,-10.524065,,,,,,290,45
121,0.9488,0.0463802,0.0048201,0.845839,0.0549067,0.0992542,145.89306,-11.091055,,,,,,290,45
122,0.95317,0.0413374,0.00549221,0.851424,0.0550926,0.0934837,148.1348,-11.636696,,,,,,290,45
123,0.957918,0.0358478,0.00623431,0.858439,0.0529122,0.088649,150.18166,-12.167409,,,,,,290,45
124,0.962772,0.0301831,0.00704505,0.866919,0.0484848,0.0845966,152.07781,-12.69168,,,,,,290,45
125,0.967464,0.0246133,0.00792221,0.876596,0.0422363,0.0811676,153.85997,-13.218878,,,,,,290,45
126,0.971746,0.0193902,0.00886342,0.887006,0.0347831,0.0782105,155.55655,-13.758228,,,,,,290,45
127,0.975405,0.0147305,0.00986482,0.897576,0.0268331,0.0755905,157.18764,-14.318081,,,,,,290,45
128,0.978276,0.0108017,0.0109227,0.907712,0.0190961,0.0731921,158.76559,-14.905382,,,,,,290,45
129,0.980256,0.00771144,0.0120329,0.916872,0.0122046,0.0709237,160.29597,-15.525318,,,,,,290,45
130,0.981306,0.00550232,0.0131912,0.924633,0.00664929,0.0687176,161.77889,-16.181177,,,,,,290,45
131,0.982579,0.00422128,0.0131993,0.930364,0.00271246,0.0669236,163.2601,-16.895776,,,,,,290,45
132,0.983286,0.00365442,0.0130594,0.93428,0.000538901,0.0651814,164.69103,-17.654395,,,,,,290,45
133,0.98355,0.0036713,0.012779,0.936483,3.88E-05,0.0634782,166.06427,-18.45627,,,,,,290,45
134,0.983519,0.00411633,0.012365,0.937227,0.000959175,0.0618141,167.37334,-19.299878,,,,,,290,45
135,0.983351,0.00482365,0.0118249,0.936869,0.00293434,0.0601969,168.61361,-20.183481,,,,,,290,45
136,0.983203,0.00563144,0.0111653,0.935819,0.00554243,0.0586386,169.78303,-21.106208,,,,,,290,45
137,0.983214,0.0063944,0.0103919,0.934489,0.00835879,0.0571523,170.88205,-22.06857,,,,,,290,45
138,0.983496,0.00699366,0.00950992,0.93325,0.0110003,0.0557496,171.91363,-23.073701,,,,,,290,45
139,0.984134,0.00734366,0.0085225,0.932404,0.0131564,0.0544391,172.88266,-24.128292,,,,,,290,45
140,0.985171,0.00739612,0.0074325,0.932166,0.0146083,0.053226,173.79535,-25.243331,,,,,,290,45
141,0.985658,0.00716651,0.00717574,0.932995,0.0152067,0.051798,174.68105,-26.487258,,,,,,290,45
142,0.986391,0.00664278,0.00696579,0.934623,0.0149534,0.0504237,175.52921,-27.864252,,,,,,290,45
143,0.987326,0.00587527,0.00679895,0.936985,0.0139169,0.0490986,176.3464,-29.423003,,,,,,290,45
144,0.988386,0.00494232,0.00667171,0.939946,0.0122394,0.0478146,177.13824,-31.231159,,,,,,290,45
145,0.989476,0.00394323,0.00658063,0.943319,0.0101183,0.0465622,177.90915,-33.377984,,,,,,290,45
146,0.990488,0.00298966,0.00652271,0.946886,0.00778344,0.0453309,178.66215,-35.940338,,,,,,290,45
147,0.991309,0.00219606,0.00649513,0.950415,0.00547364,0.0441109,179.39889,-38.716503,,,,,,290,45
148,0.991835,0.0016699,0.00649516,0.953693,0.00341268,0.0428941,180.11976,-40.243284,,,,,,290,45
149,0.991977,0.00150238,0.0065207,0.956538,0.00178768,0.0416742,180.82406,-38.828628,,,,,,290,45
150,0.99167,0.00176042,0.00656945,0.95882,0.000731507,0.0404486,181.51039,-36.22445,,,,,,290,45
151,0.990755,0.0024972,0.00674784,0.960306,0.000314887,0.0393791,182.15208,-33.942778,,,,,,290,45
152,0.989321,0.00370876,0.00697054,0.961138,0.000529196,0.0383325,182.76749,-32.07922,,,,,,290,45
153,0.9874,0.00536321,0.00723685,0.961386,0.0013016,0.0373128,183.35534,-30.562627,,,,,,290,45
154,0.985058,0.00739599,0.007546,0.961171,0.00250385,0.0363249,183.915,-29.310681,,,,,,290,45
155,0.982387,0.00971513,0.00789798,0.960656,0.00396894,0.0353748,184.44678,-28.260784,,,,,,290,45
156,0.979498,0.0122087,0.00829309,0.960021,0.00551091,0.0344683,184.95191,-27.365624,,,,,,290,45
157,0.976515,0.0147534,0.00873196,0.959445,0.00694517,0.0336101,185.4325,-26.590402,,,,,,290,45
158,0.973561,0.0172237,0.00921566,0.959089,0.00810766,0.0328035,185.89138,-25.908419,,,,,,290,45
159,0.970754,0.0195005,0.00974538,0.959079,0.0088708,0.03205,186.33185,-25.299005,,,,,,290,45
160,0.968198,0.021479,0.010323,0.959495,0.00915592,0.0313494,186.75742,-24.74606,,,,,,290,45
161,0.966594,0.0230138,0.0103921,0.960438,0.00898811,0.0305734,187.2658,-24.121862,,,,,,290,45
162,0.965493,0.0240917,0.0104154,0.961822,0.00835878,0.0298191,187.78201,-23.527831,,,,,,290,45
163,0.964926,0.0246793,0.0103942,0.963564,0.00735535,0.0290804,188.30822,-22.958531,,,,,,290,45
164,0.9649,0.0247711,0.0103292,0.965532,0.0061169,0.0283507,188.84569,-22.410775,,,,,,290,45
